School,Borough,Tested,Passed,8th graders,7,Gain/Loss,% Tested,% Passed,% Passed Overall,% Asian,% Black,% Hispanic,% White,% with Disabilities,% ELL,% Poverty,Economic Need Index
P.S. 5 Port Morris,Bronx,8,s,72,5,,11.1,,,0.4,27.4,68.4,2.9,22.3,23.3,95.4,95.0%
P.S./M.S. 029 Melrose School,Bronx,10,s,83,6,,12.0,,,1.5,29.9,66.0,1.1,20.2,12.8,92.4,93.5%
P.S./M.S. 031 The William Lloyd Garrison,Bronx,9,s,77,5,,11.7,,,2.8,27.4,66.4,2.5,24.6,14.0,91.2,91.4%
J.H.S. 151 Lou Gehrig,Bronx,s,s,91,6,,#VALUE!,,,0.0,26.8,70.5,2.3,24.5,33.7,99.2,94.1%
South Bronx Preparatory: A College Board School,Bronx,8,s,96,7,,8.3,,,1.5,25.0,71.0,1.8,26.7,7.3,96.4,92.7%
The Laboratory School of Finance and Technology: X,Bronx,18,s,99,7,,18.2,,,0.6,17.8,80.6,0.7,21.3,8.9,97.4,92.0%
P.S./I.S. 224,Bronx,s,s,129,9,,#VALUE!,,,0.3,26.3,71.8,1.4,27.1,22.1,98.0,96.1%
South Bronx Academy for Applied Media,Bronx,6,s,84,6,,7.1,,,1.2,32.8,64.0,0.8,31.6,10.3,93.3,94.9%
Academy of Public Relations,Bronx,9,s,80,6,,11.3,,,0.4,20.6,76.5,1.6,27.1,27.9,91.1,94.0%
Academy of Applied Mathematics and Technology,Bronx,31,s,96,7,,32.3,,,0.7,28.3,69.0,1.3,25.0,11.7,94.3,93.7%
Hostos-Lincoln Academy of Science,Bronx,s,s,57,4,,#VALUE!,,,2.2,22.0,73.6,1.4,21.9,4.3,85.4,86.2%
The Urban Assembly Bronx Academy of Letters,Bronx,s,s,79,6,,#VALUE!,,,0.3,33.2,62.9,2.9,30.7,14.1,89.8,94.2%
I.S. 584,Bronx,10,s,106,7,,9.4,,,0.0,24.2,75.1,0.0,33.2,23.1,97.1,94.9%
P.S. 071 Rose E. Scala,Bronx,96,s,178,12,,53.9,,,8.2,5.0,62.5,22.8,19.6,10.9,73.0,59.9%
J.H.S. 123 James M. Kieran,Bronx,11,s,89,6,,12.4,,,2.8,23.7,72.4,0.3,27.3,26.5,87.3,92.5%
J.H.S. 125 Henry Hudson,Bronx,39,s,118,8,,33.1,,,25.1,12.3,51.0,7.2,20.3,24.2,95.5,89.3%
J.H.S. 131 Albert Einstein,Bronx,22,s,158,11,,13.9,,,4.6,32.6,60.7,1.1,32.8,12.2,84.3,89.5%
Bronx Studio School for Writers and Artists,Bronx,s,s,85,6,,#VALUE!,,,0.6,19.8,78.4,1.1,26.3,13.1,84.8,90.6%
M.S. 301 Paul L. Dunbar,Bronx,s,s,78,5,,#VALUE!,,,0.0,40.8,57.1,1.6,25.3,26.1,94.7,94.6%
M.S. 302 Luisa Dessus Cruz,Bronx,13,s,164,11,,7.9,,,0.4,21.7,75.8,1.2,30.7,26.8,94.1,94.3%
The School for Inquiry and Social Justice,Bronx,39,s,157,11,,24.8,,,1.9,23.7,71.8,0.6,26.6,13.3,79.9,84.7%
"Archimedes Academy for Math, Science and Technolog",Bronx,30,s,98,7,,30.6,,,9.9,28.0,59.2,1.9,25.2,9.5,82.5,84.7%
Urban Institute of Mathematics,Bronx,39,s,112,8,,34.8,,,4.0,12.3,65.7,16.0,21.1,6.9,77.1,61.6%
The Bronx Mathematics Preparatory School,Bronx,17,s,73,5,,23.3,,,2.5,28.3,65.4,1.3,37.5,14.6,99.2,92.6%
Antonia Pantoja Preparatory Academy: A College Board School,Bronx,9,s,46,3,,19.6,,,7.2,18.6,70.5,2.2,26.7,15.8,81.4,87.2%
The Hunts Point School,Bronx,s,s,110,8,,#VALUE!,,,1.3,23.0,73.5,1.0,30.1,24.3,94.5,94.1%
Soundview Academy for Culture and Scholarship,Bronx,19,s,121,8,,15.7,,,2.6,33.8,62.1,1.0,27.8,9.1,79.2,85.6%
Mott Hall Community School,Bronx,21,s,113,8,,18.6,,,2.7,17.5,68.9,10.9,31.1,11.8,86.4,76.7%
Blueprint Middle School,Bronx,29,s,95,7,,30.5,,,18.8,14.3,60.7,5.1,22.9,12.5,83.9,86.6%
P.S./M.S. 004 Crotona Park West,Bronx,7,s,61,4,,11.5,,,0.7,54.5,42.6,1.2,24.9,11.9,92.5,95.2%
J.H.S. 022 Jordan L. Mott,Bronx,24,s,149,10,,16.1,,,1.4,20.7,75.5,2.0,23.6,35.8,97.5,95.6%
I.S. 117 Joseph H. Wade,Bronx,s,s,177,12,,#VALUE!,,,1.9,17.5,79.7,0.4,24.2,39.6,94.5,95.7%
Mott Hall III,Bronx,68,s,118,8,,57.6,,,1.1,41.0,55.9,0.6,17.1,4.7,93.4,89.1%
Kappa,Bronx,25,s,78,5,,32.1,,,5.7,47.3,44.8,1.3,24.6,15.1,90.5,93.5%
P.S./I.S. 218 Rafael Hernandez Dual Language Magne,Bronx,63,s,91,6,,69.2,,,2.8,4.4,91.0,1.1,18.9,28.7,86.7,91.9%
I.S. 219 New Venture School,Bronx,7,s,106,7,,6.6,,,0.6,38.4,59.9,0.9,30.4,26.7,94.3,96.6%
I.S. 229 Roland Patterson,Bronx,s,s,83,6,,#VALUE!,,,0.4,39.0,59.3,0.0,32.5,19.5,92.7,95.7%
